"","V1"
"為什麼要生小孩",6
"一個年輕女生包",4
"不敢買存屁存窮",4
"也不敢買存屁存",4
"人存屁錢早點去",4
"人還要生小孩呢",4
"什麼窮人還要生",4
"保養品也不敢買",4
"個年輕女生包包",4
"包包鞋子衣服都",4
"包鞋子衣服都沒",4
"品也不敢買存屁",4
"多少保養品也不",4
"女生包包鞋子衣",4
"子衣服都沒買多",4
"存屁存窮人存屁",4
"存屁錢早點去死",4
"存窮人存屁錢早",4
"少保養品也不敢",4
"屁存窮人存屁錢",4
"屁錢早點去死死",4
"年輕女生包包鞋",4
"成家立業的年紀",4
"我好恨被生出來",4
"敢買存屁存窮人",4
"早點去死死算了",4
"服都沒買多少保",4
"沒買多少保養品",4
"為什麼窮人還要",4
"生包包鞋子衣服",4
"窮人存屁錢早點",4
"窮人還要生小孩",4
"衣服都沒買多少",4
"買多少保養品也",4
"買存屁存窮人存",4
"輕女生包包鞋子",4
"都沒買多少保養",4
"錢早點去死死算",4
"鞋子衣服都沒買",4
"養品也不敢買存",4
"麼窮人還要生小",4
"<U+7232",3
"U+7232>",3
"一個人咬牙把小",3
"一半錢從我一直",3
"一樣不夠治房子",3
"一樣不夠醫啊出",3
"一樣悲慘的人生",3
"一樣買不起啊為",3
"一直被罵孝親費",3
"一點一個年輕女",3
"不夠治房子一樣",3
"不夠醫啊出意外",3
"不孝自己的人生",3
"不打算生小孩了",3
"不拿去對自己好",3
"不會生小孩的我",3
"不會複製跟我一",3
"不生小孩是因為",3
"不能念研究所從",3
"不起啊為什麼要",3
"不起房從我發現",3
"不願意被生出來",3
"世界都會這樣講",3
"中打工要給家裡",3
"了明明是成家立",3
"人咬牙把小孩帶",3
"人生我為什麼要",3
"人生規劃全沒了",3
"人都會慢慢變老",3
"什麼不拿去對自",3
"什麼要努存錢存",3
"什麼要存為什麼",3
"以後所有的收入",3
"以我不會生小孩",3
"但是小孩呢長大",3
"你有問過小孩願",3
"來嗎我好恨被生",3
"來回報家裡否則",3
"來我怎麼會那麼",3
"個人咬牙把小孩",3
"偉大全世界都會",3
"儲蓄全部都要拿",3
"入都要拿來回報",3
"全世界都會這樣",3
"全沒了明明是成",3
"全部都要拿給家",3
"出來嗎我好恨被",3
"出來我怎麼會那",3
"出意外一樣不夠",3
"則就是不孝自己",3
"劃全沒了明明是",3
"努存錢存的那少",3
"半錢從我一直被",3
"去對自己好一點",3
"可敬很偉大全世",3
"否則就是不孝自",3
"呢一個人咬牙把",3
"呢從我不能念研",3
"呢長大以後所有",3
"咬牙把小孩帶大",3
"啊出意外一樣不",3
"啊所以我不會生",3
"啊為什麼要存為",3
"問過小孩願不願",3
"嗎我好恨被生出",3
"回報家裡否則就",3
"因<U+723",3
"國中打工要給家",3
"報家裡否則就是",3
"外一樣不夠治房",3
"夠治房子一樣買",3
"夠醫啊出意外一",3
"大以後所有的收",3
"大全世界都會這",3
"大很可敬很偉大",3
"太少從我發現我",3
"好一點一個年輕",3
"好恨被生出來我",3
"始恨呢從我不能",3
"始恨的啊所以我",3
"婚都沒錢結我就",3
"子一樣買不起啊",3
"存為什麼不拿去",3
"存的那少少的錢",3
"存錢存的那少少",3
"孝自己的人生規",3
"孝親費給太少從",3
"孩呢一個人咬牙",3
"孩呢長大以後所",3
"孩帶大很可敬很",3
"孩的我不會複製",3
"孩願不願意被生",3
"家立業的年紀儲",3
"家裡一半錢從我",3
"家裡你有問過小",3
"家裡否則就是不",3
"對自己好一點一",3
"小孩呢一個人咬",3
"小孩呢長大以後",3
"小孩帶大很可敬",3
"小孩的我不會複",3
"小孩願不願意被",3
"少少的錢得癌症",3
"少從我發現我根",3
"少的錢得癌症一",3
"就應該開始恨的",3
"就是不孝自己的",3
"工要給家裡一半",3
"己好一點一個年",3
"己的人生規劃全",3
"帶大很可敬很偉",3
"年紀儲蓄全部都",3
"很偉大全世界都",3
"很可敬很偉大全",3
"後所有的收入都",3
"得癌症一樣不夠",3
"從國中打工要給",3
"從我一直被罵孝",3
"從我不能念研究",3
"從我發現我根本",3
"從我發現我連結",3
"念研究所從國中",3
"怎麼會那麼慢才",3
"恨呢從我不能念",3
"恨的啊所以我不",3
"恨被生出來我怎",3
"悲慘的人生我為",3
"意外一樣不夠治",3
"意被生出來嗎我",3
"慘的人生我為什",3
"慢才開始恨呢從",3
"應該開始恨的啊",3
"我一樣悲慘的人",3
"我一直被罵孝親",3
"我不會生小孩的",3
"我不會複製跟我",3
"我不能念研究所",3
"我就應該開始恨",3
"我怎麼會那麼慢",3
"我根本買不起房",3
"我為什麼要努存",3
"我發現我根本買",3
"我發現我連結婚",3
"我連結婚都沒錢",3
"房子一樣買不起",3
"房從我發現我連",3
"所以我不會生小",3
"所從國中打工要",3
"所有的收入都要",3
"才開始恨呢從我",3
"打工要給家裡一",3
"把小孩帶大很可",3
"拿來回報家裡否",3
"拿去對自己好一",3
"拿給家裡你有問",3
"收入都要拿來回",3
"敬很偉大全世界",3
"明明是成家立業",3
"明是成家立業的",3
"是不孝自己的人",3
"是小孩呢長大以",3
"是成家立業的年",3
"會生小孩的我不",3
"會複製跟我一樣",3
"會這樣講但是小",3
"會那麼慢才開始",3
"有問過小孩願不",3
"有的收入都要拿",3
"本買不起房從我",3
"根本買不起房從",3
"業的年紀儲蓄全",3
"樣不夠治房子一",3
"樣不夠醫啊出意",3
"樣悲慘的人生我",3
"樣講但是小孩呢",3
"樣買不起啊為什",3
"沒了明明是成家",3
"沒錢結我就應該",3
"治房子一樣買不",3
"為什麼不拿去對",3
"為什麼要努存錢",3
"為什麼要存為什",3
"牙把小孩帶大很",3
"現我根本買不起",3
"現我連結婚都沒",3
"生出來嗎我好恨",3
"生出來我怎麼會",3
"生小孩呢一個人",3
"生小孩的我不會",3
"生我為什麼要努",3
"生規劃全沒了明",3
"界都會這樣講但",3
"症一樣不夠醫啊",3
